ID,优先级,下载决策,队列属性,二级分类,数据集,服务器状态,已取得独立raw,精确时长已审计,已审计时长(h),文献时长(h),实体大小(GB),访问方式,下载方法,官方入口,申请/登录页面,建议路径,决策理由/下一步
EEG-0145,P3,需要申请/登录,健康/人群,Sleep_Health_and_PSG,SOF,MANUAL_APPLICATION_OR_LOGIN,否,否,,4514.133333333333,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/sof,https://sleepdata.org/data/requests/sof/start,03_Consciousness_and_State/Sleep_Staging/SOF,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0126,P3,需要申请/登录,疾病/临床,Obstructive_Sleep_Apnea,HomePAP,MANUAL_APPLICATION_OR_LOGIN,否,否,,1928.6333333333334,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/data/requests/homepap/start,https://sleepdata.org/data/requests/homepap/start,03_Consciousness_and_State/Sleep_Staging/HomePAP,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0108,P3,需要申请/登录,疾病/临床,Clinical_Sleep_and_PSG,ABC,MANUAL_APPLICATION_OR_LOGIN,否,否,,1109.175,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/abc,https://sleepdata.org/data/requests/abc/start,03_Consciousness_and_State/Sleep_Staging/ABC,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0130,P3,需要申请/登录,健康/人群,Sleep_Staging_and_Microarousals,MASS,MANUAL_APPLICATION_OR_LOGIN,否,否,,873.0333333333333,,公开/登录后下载,打开官方入口并按页面说明下载,https://ceams-carsm.ca/mass/,https://ceams-carsm.ca/mass/,03_Consciousness_and_State/Sleep_Staging/MASS,尚未申请；按 MASS 官网说明提交项目描述和本地伦理审批材料。
EEG-0111,P3,需要申请/登录,疾病/临床,Clinical_Sleep_and_PSG,APPLES,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/apples,https://sleepdata.org/data/requests/apples/start,03_Consciousness_and_State/Sleep_Staging/APPLES,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0127,P3,需要申请/登录,疾病/临床,Clinical_Sleep_and_PSG,Human Sleep Project (HSP),MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,BDSP：完成 credentialing/DUA 后使用 credentialed AWS CLI,https://bdsp.io/content/hsp/,https://bdsp.io/register/,03_Consciousness_and_State/Sleep_Staging/Human_Sleep_Project_HSP,尚未申请 HSP；完成 BDSP credentialing/DUA 后申请该库权限。
EEG-0137,P3,需要申请/登录,健康/人群,Sleep_Health_and_PSG,NFS,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/nfs,https://sleepdata.org/data/requests/nfs/start,03_Consciousness_and_State/Sleep_Staging/NFS,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0141,P3,需要申请/登录,健康/人群,Sleep_Health_and_PSG,SEED-SD,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,公开/登录后下载,打开官方入口并按页面说明下载,https://bcmi.sjtu.edu.cn/home/seed/seed-SD.html,https://bcmi.sjtu.edu.cn/ApplicationForm/apply_form/,03_Consciousness_and_State/Sleep_Staging/SEED-SD,尚未申请；填写 BCMI 官方 Apply 表单。
EEG-0148,P3,需要申请/登录,健康/人群,Population_Sleep_Health,WSC,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,公开/登录后下载,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/data/requests/wsc/start,https://sleepdata.org/data/requests/wsc/start,03_Consciousness_and_State/Sleep_Staging/WSC,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0587,P3,需要申请/登录,健康/人群,睡眠与流行病学,HCHS/SOL Polysomnography,NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/hchs,https://sleepdata.org/data/requests/hchs/start,08_Health_and_Population/Population_Sleep_Health/HCHS_SOL,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0588,P3,需要申请/登录,健康/人群,衰老与痴呆风险,HAASSA,NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/haassa,https://sleepdata.org/data/requests/haassa/start,08_Health_and_Population/Aging_and_Dementia_Risk/HAASSA,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0589,P3,需要申请/登录,健康/人群,睡眠呼吸风险,ApoE Sleep Disordered Breathing,NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/apoe,https://sleepdata.org/data/requests/apoe/start,08_Health_and_Population/Sleep_Disordered_Breathing_Risk/ApoE,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0590,P3,需要申请/登录,健康/人群,孕产妇健康,nuMoM2b Sleep Breathing Substudy,NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/numom2b,https://sleepdata.org/data/requests/numom2b/start,08_Health_and_Population/Maternal_and_Pregnancy_Health/NUMOM2B,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0591,P3,需要申请/登录,疾病/临床,睡眠疾病/发作性睡病,Mignot Nature Communications (MNC),NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/mnc,https://sleepdata.org/data/requests/mnc/start,02_Healthcare_and_Disease/Sleep_and_Narcolepsy/MNC,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0592,P3,需要申请/登录,疾病/临床,临床睡眠障碍,Comprehensive Polysomnography (CPS),NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,PhysioNet：wget -r -N -c -np https://physionet.org/content/cps-dataset-sleep/1.0.0/,https://physionet.org/content/cps-dataset-sleep/1.0.0/,https://physionet.org/settings/profile/,02_Healthcare_and_Disease/Clinical_Sleep_Disorders/CPS,尚未申请；完成 PhysioNet credentialing、CITI 培训并签署项目 DUA。
EEG-0593,P3,需要申请/登录,疾病/临床,心衰与中枢性睡眠呼吸暂停,LOFT-HF,NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/datasets/lofthf,https://sleepdata.org/data/requests/lofthf/start,02_Healthcare_and_Disease/Cardiovascular_and_Sleep_Disorders/LOFT_HF,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0605,P3,需要申请/登录,疾病/临床,Clinical_Sleep_Disorders,STAGES,NOT_IN_SERVER_AUDIT,否,否,,,,需要申请,NSRR：审批后用 nsrr download 或网页批量下载,https://sleepdata.org/data/requests/stages/start,https://sleepdata.org/data/requests/stages/start,02_Healthcare_and_Disease/Clinical_Sleep_Disorders/STAGES,尚未申请；打开申请页面，登录 NSRR，填写研究用途并提交。
EEG-0031,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,SeizeIT2,COMPLETED,是,是,11626.24888888889,11626.24888888889,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005873/versions/1.1.0,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/SeizeIT2,无需下载；保持服务器校验记录。
EEG-0006,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,American Epilepsy Society Seizure Prediction Challenge,COMPLETED,是,是,1333.6666666666667,1333.6666666666667,,公开/登录后下载,Kaggle：接受规则后使用 Kaggle CLI,https://www.kaggle.com/c/seizure-prediction,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/American_Epilepsy_Society_Seizure_Prediction_Challenge,无需下载；保持服务器校验记录。
EEG-0009,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,CHB-MIT,COMPLETED,是,是,982.9352777777777,982.9352777777777,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/chbmit/1.0.0/,https://physionet.org/content/chbmit/1.0.0/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/CHB-MIT,无需下载；保持服务器校验记录。
EEG-0014,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,HMS Harmful Brain Activity Classification,COMPLETED,是,是,390.16,390.16,,需要申请,Kaggle：接受规则后使用 Kaggle CLI,https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification/data,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/HMS_Harmful_Brain_Activity_Classification,无需下载；保持服务器校验记录。
EEG-0064,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,bigP3BCI,COMPLETED,是,是,267.14497044443334,267.14497044443334,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/bigp3bci/1.0.0/,https://physionet.org/content/bigp3bci/1.0.0/,,02_Biometrics_and_Disease/Neurological_Disorders/ALS_Eye-tracking_Spelling_EEG_Dataset,无需下载；保持服务器校验记录。
EEG-0523,完成,已下载·时长已审计,疾病/临床,Development_and_Lifespan,SFARI_EEG multi-paradigm dataset,COMPLETED,是,是,229.42268934461805,229.42268934461805,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds006780/versions/1.0.0,,02_Biometrics_and_Disease/Development_and_Lifespan/SFARI_EEG_multi-paradigm_dataset,无需下载；保持服务器校验记录。
EEG-0032,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,Siena Scalp EEG,COMPLETED,是,是,141.02055555555555,141.02055555555555,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/siena-scalp-eeg/1.0.0/,https://physionet.org/content/siena-scalp-eeg/1.0.0/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/Siena_Scalp_EEG,无需下载；保持服务器校验记录。
EEG-0081,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI,COMPLETED,是,是,140.79954166666658,140.79954166666658,,公开/登录后下载,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/EEGDash/ds003522,,02_Biometrics_and_Disease/Neurological_Disorders/EEG_Three-Stim_Auditory_Oddball_and_Rest_in_Acute_and_Chronic_TBI,无需下载；保持服务器校验记录。
EEG-0062,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Acute Mild TBI DPX Cognitive-control EEG,COMPLETED,是,是,124.27265277777778,124.27265277777778,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005114/versions/1.0.0,,02_Biometrics_and_Disease/Neurological_Disorders/Acute_Mild_TBI_DPX_Cognitive-control_EEG,无需下载；保持服务器校验记录。
EEG-0061,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,TDBRAIN,COMPLETED,是,是,120.51638888888888,120.51638888888888,,需要申请,打开官方入口并按页面说明下载,https://brainclinics.com/resources/,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/TDBRAIN,无需下载；保持服务器校验记录。
EEG-0005,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,A dataset of neonatal EEG recordings with seizure annotations,COMPLETED,是,是,111.89583333333333,111.89583333333333,,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/4940267,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/A_dataset_of_neonatal_EEG_recordings_with_seizures_annotations,无需下载；保持服务器校验记录。
EEG-0522,完成,已下载·时长已审计,健康/人群,Lifespan_and_Normative,MIPDB,COMPLETED,是,是,104.0500522222222,104.0500522222222,,公开/登录后下载,打开官方入口并按页面说明下载,https://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/MIPDB.html,,02_Biometrics_and_Disease/Development_and_Lifespan/MIPDB,无需下载；保持服务器校验记录。
EEG-0074,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,CCEP ECoG Dataset across age 4-51,COMPLETED,是,是,89.39102118458145,89.39102118458145,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004080/versions/1.2.4,,02_Biometrics_and_Disease/Neurological_Disorders/CCEP_ECoG_Dataset_across_age_4-51,无需下载；保持服务器校验记录。
EEG-0013,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,HFO (High-Frequency Oscillations),COMPLETED,是,是,89.00694444444444,89.00694444444444,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds003555,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/HFO_High-Frequency_Oscillations,无需下载；保持服务器校验记录。
EEG-0045,完成,已下载·时长已审计,疾病/临床,Neurodegenerative_Disorders,"EEG p-adic quantum potential accurately identifies depression, schizophrenia and cognitive decline",COMPLETED,是,是,84.29973722222223,84.29973722222223,,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/7258868,,02_Biometrics_and_Disease/Neurodegenerative_Disorders/EEG_p-adic_quantum_potential_accurately_identifies_depression_schizophrenia_and_cognitive_,无需下载；保持服务器校验记录。
EEG-0065,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,ALS-Spelling (EEG-ET),COMPLETED,是,是,66.32305555555556,66.32305555555556,,公开/登录后下载,打开官方入口并按页面说明下载,https://doi.org/10.6084/m9.figshare.24485689.v1,,02_Biometrics_and_Disease/Neurological_Disorders/ALS-Spelling_EEG-ET,无需下载；保持服务器校验记录。
EEG-0521,完成,已下载·时长已审计,健康/人群,Lifespan_and_Normative,Mind in Motion Older Adults Walking EEG,COMPLETED,是,是,61.09685944444434,61.09685944444434,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds006095/versions/1.0.0,,02_Biometrics_and_Disease/Development_and_Lifespan/Mind_in_Motion_Older_Adults_Walking_EEG,无需下载；保持服务器校验记录。
EEG-0015,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,HUP iEEG Epilepsy Dataset,COMPLETED,是,是,49.769444444444446,49.769444444444446,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004100,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/HUP_iEEG_Epilepsy_Dataset,无需下载；保持服务器校验记录。
EEG-0080,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,EEG: Simon Conflict in Parkinson's,COMPLETED,是,是,48.53486111111113,48.53486111111113,,公开/登录后下载,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/EEGDash/ds003509,,02_Biometrics_and_Disease/Neurological_Disorders/EEG_Simon_Conflict_in_Parkinson_s,无需下载；保持服务器校验记录。
EEG-0082,完成,已下载·时长已审计,健康/人群,Sensory_Physiology,Human Spinal-cord Somatosensory Evoked Potentials EEG,COMPLETED,是,是,43.48990400000004,43.48990400000004,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004388/versions/1.0.0,,02_Biometrics_and_Disease/Neurological_Disorders/Human_Spinal-cord_Somatosensory_Evoked_Potentials_EEG,无需下载；保持服务器校验记录。
EEG-0040,完成,已下载·时长已审计,疾病/临床,Neurodegenerative_Disorders,AD65 (Alzheimer/FTD),COMPLETED,是,是,39.00595000000006,39.00595000000006,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004504,,02_Biometrics_and_Disease/Neurodegenerative_Disorders/AD65_Alzheimer_FTD,无需下载；保持服务器校验记录。
EEG-0079,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,EEG: Reinforcement Learning in Parkinson’s,COMPLETED,是,是,35.38127777777776,35.38127777777776,,需要申请,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/EEGDash/ds003506,,02_Biometrics_and_Disease/Neurological_Disorders/EEG_Reinforcement_Learning_in_Parkinson_s,无需下载；保持服务器校验记录。
EEG-0085,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Lower-Limb-MI (stroke),COMPLETED,是,是,33.448055555555555,33.448055555555555,,公开/登录后下载,Figshare 官方文件下载/API,https://springernature.figshare.com/articles/dataset/Lower_limb_motor_imagery_EEG.../27130299,,02_Biometrics_and_Disease/Neurological_Disorders/Lower-Limb-MI_stroke,无需下载；保持服务器校验记录。
EEG-0016,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,vEpiSet (Interictal Epileptiform Discharge EEG Dataset),COMPLETED,是,是,28.241666666666667,28.241666666666667,,公开/登录后下载,Figshare 官方文件下载/API,https://springernature.figshare.com/articles/dataset/28069568,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/Interictal_Epileptiform_Discharge_EEG_Dataset,无需下载；保持服务器校验记录。
EEG-0052,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,Depression resting (BDI),COMPLETED,是,是,23.359657777777795,23.359657777777795,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds003478,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/Depression_resting_BDI,无需下载；保持服务器校验记录。
EEG-0520,完成,已下载·时长已审计,健康/人群,Lifespan_and_Normative,Infant First-year Resting EEG Dataset,COMPLETED,是,是,22.83888888888889,22.83888888888889,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004577,,02_Biometrics_and_Disease/Development_and_Lifespan/Infant_First-year_Resting_EEG_Dataset,无需下载；保持服务器校验记录。
EEG-0070,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,BNCI 006-2014 (SCP training in stroke),COMPLETED,是,是,21.875555555555554,21.875555555555554,,公开/登录后下载,打开官方入口并按页面说明下载,http://bnci-horizon-2020.eu/database/data-sets,,02_Biometrics_and_Disease/Neurological_Disorders/BNCI_006-2014_SCP_training_in_stroke,无需下载；保持服务器校验记录。
EEG-0087,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Ultra High-Density EEG of Interictal Migraine and Controls,COMPLETED,是,是,21.232222222222223,21.232222222222223,,公开/登录后下载,打开官方入口并按页面说明下载,https://kilthub.cmu.edu/articles/dataset/Ultra_high-density_EEG_recording_of_interictal_migraine_and_controls_sensory_and_rest/12636731,,02_Biometrics_and_Disease/Neurological_Disorders/Migrainedb,无需下载；保持服务器校验记录。
EEG-0057,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,MDD (Mumtaz),COMPLETED,是,是,20.555833333333332,20.555833333333332,,需要申请,打开官方入口并按页面说明下载,https://doi.org/10.6084/m9.figshare.4244171,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/MDD_Mumtaz,无需下载；保持服务器校验记录。
EEG-0092,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,PD-EEG Resting-State & Walking EEG,COMPLETED,是,是,19.488683333333334,19.488683333333334,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds007526/versions/1.0.2,,02_Biometrics_and_Disease/Neurological_Disorders/PD-EEG_Resting-State_Walking_EEG,无需下载；保持服务器校验记录。
EEG-0018,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,Kaggle UPenn and Mayo Clinic Seizure Detection,COMPLETED,是,是,16.350194145529045,16.350194145529045,,公开/登录后下载,Kaggle：接受规则后使用 Kaggle CLI,https://www.kaggle.com/c/seizure-detection/data,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/Kaggle_UPenn_and_Mayo_Clinic_Seizure_Detection,无需下载；保持服务器校验记录。
EEG-0044,完成,已下载·时长已审计,疾病/临床,Neurodegenerative_Disorders,Dementia Photo-stimulation Open-eyes EEG,COMPLETED,是,是,14.963480000000004,14.963480000000004,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds006036/versions/1.0.6,,02_Biometrics_and_Disease/Neurodegenerative_Disorders/Dementia_Photo-stimulation_Open-eyes_EEG,无需下载；保持服务器校验记录。
EEG-0078,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,EEG: 3-Stim Auditory Oddball and Rest in Parkinson’s,COMPLETED,是,是,12.759916666666669,12.759916666666669,,需要申请,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/EEGDash/ds003490,,02_Biometrics_and_Disease/Neurological_Disorders/EEG_3-Stim_Auditory_Oddball_and_Rest_in_Parkinson_s,无需下载；保持服务器校验记录。
EEG-0089,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Mu and Beta Oscillatory Changes during a motor task following Rehabilitation in Chronic MCA Stroke: Insights from EEG,COMPLETED,是,是,12.290877777777778,12.290877777777778,,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/19599466,,02_Biometrics_and_Disease/Neurological_Disorders/Mu_and_Beta_Oscillatory_Changes_during_a_motor_task_following_Rehabilitation_in_Chronic_MC,无需下载；保持服务器校验记录。
EEG-0055,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,FEPCR,COMPLETED,是,是,12.265277302055557,12.265277302055557,,公开/登录后下载,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/EEGDash/ds003944,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/FEPCR,无需下载；保持服务器校验记录。
EEG-0056,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,Fribourg Ultimatum Game in Schizophrenia Study,COMPLETED,是,是,12.056666666666667,12.056666666666667,,需要申请,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/EEGDash/ds004000,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/Fribourg_Ultimatum_Game_in_Schizophrenia_Study,无需下载；保持服务器校验记录。
EEG-0083,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Intraoperative Medianus-tibialis Stimulation EEG,COMPLETED,是,是,11.763055555555555,11.763055555555555,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004381/versions/1.0.2,,02_Biometrics_and_Disease/Neurological_Disorders/Intraoperative_Medianus-tibialis_Stimulation_EEG,无需下载；保持服务器校验记录。
EEG-0075,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,"Dataset of electrophysiological signals (EEG, ECG, EMG) during Music therapy with adult burn patients in the Intensive Care Unit.",COMPLETED,是,是,10.940555555555555,10.940555555555555,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds004840/versions/1.0.1,,02_Biometrics_and_Disease/Neurological_Disorders/Dataset_of_electrophysiological_signals_EEG_ECG_EMG_during_Music_therapy_with_adult_burn_p,无需下载；保持服务器校验记录。
EEG-0060,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,Schizophrenia-81,COMPLETED,是,是,9.605833333333333,9.605833333333333,,公开/登录后下载,Kaggle：接受规则后使用 Kaggle CLI,https://www.kaggle.com/datasets/broach/button-tone-sz,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/Schizophrenia-81,无需下载；保持服务器校验记录。
EEG-0098,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Tinnitus Acoustic Therapy EEG Database,COMPLETED,是,是,8.41,8.41,,公开/登录后下载,打开官方入口并按页面说明下载,https://data.mendeley.com/datasets/kj443jc4yc,,02_Biometrics_and_Disease/Neurological_Disorders/Tinnitus_Acoustic_Therapy_EEG_Database,无需下载；保持服务器校验记录。
EEG-0054,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,EEG in schizophrenia,COMPLETED,是,是,8.0175,8.0175,,公开/登录后下载,打开官方入口并按页面说明下载,https://repod.icm.edu.pl/dataset.xhtml?persistentId=doi%3A10.18150%2Frepod.0107441,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/EEG_in_schizophrenia,无需下载；保持服务器校验记录。
EEG-0030,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,OpenNeuro ds003029 Epilepsy iEEG Multicenter,COMPLETED,是,是,7.958339006721048,7.958339006721048,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds003029,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/OpenNeuro_ds003029_Epilepsy_iEEG_Multicenter,无需下载；保持服务器校验记录。
EEG-0048,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,Adult ADHD EEG,COMPLETED,是,是,7.111111111111111,7.111111111111111,,公开/登录后下载,打开官方入口并按页面说明下载,https://data.mendeley.com/datasets/6k4g25fhzg/1,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/Adult_ADHD_EEG,无需下载；保持服务器校验记录。
EEG-0059,完成,已下载·时长已审计,疾病/临床,Mental_and_Developmental_Disorders,Power Spectral Density-Based Resting-State EEG Classification of First-Episode Psychosis,COMPLETED,是,是,6.05,6.05,,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/7315010,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/Power_Spectral_Density-Based_Resting-State_EEG_Classification_of_First-Episode_Psychosis,无需下载；保持服务器校验记录。
EEG-0039,完成,已下载·时长已审计,疾病/临床,Neurodegenerative_Disorders,AD-Auditory,COMPLETED,是,是,5.2027777777777775,5.2027777777777775,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005048,,02_Biometrics_and_Disease/Neurodegenerative_Disorders/AD-Auditory,无需下载；保持服务器校验记录。
EEG-0084,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Liu2024,COMPLETED,是,是,4.444444444444445,4.444444444444445,,需要申请,打开官方入口并按页面说明下载,https://moabb.neurotechx.com/docs/generated/moabb.datasets.Liu2024.html,,02_Biometrics_and_Disease/Neurological_Disorders/Liu2024,无需下载；保持服务器校验记录。
EEG-0041,完成,已下载·时长已审计,疾病/临床,Neurodegenerative_Disorders,Alzheimer Risk Classification Sample-enrichment EEG,COMPLETED,是,是,3.9115555555555552,3.9115555555555552,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds007427/versions/1.0.1,,02_Biometrics_and_Disease/Neurodegenerative_Disorders/Alzheimer_Risk_Classification_Sample-enrichment_EEG,无需下载；保持服务器校验记录。
EEG-0008,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,Bonn EEG Seizure Dataset,COMPLETED,是,是,3.277620976774251,3.277620976774251,,公开/登录后下载,打开官方入口并按页面说明下载,https://www.ukbonn.de/epileptologie/arbeitsgruppen/ag-lehnertz-neurophysik/downloads/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/Bonn_EEG_Seizure_Dataset,无需下载；保持服务器校验记录。
